"Twitter ID","Tamanho da Influência (números mais altos=mais seguidores)","Posição Ideológica (número mais alto = mais à direita)","Semelhança entre seguidores (números próximos=semelhança)"
"bobjackk","4.75","10.182582296654315","177.01331153692118"
"mah_13_","4.75","21.58961729562366","177.76329946552016"
"fernandapsol","4.75","37.76141685667534","246.10746444597854"
"maria_fro","4.75","55.63445752922372","121.7386422827373"
"HenriqueFontana","4.75","105.04657811253105","240.95630815664123"
"dasilvabenedita","4.5","96.12692513407184","223.19791667269482"
"TaclaDuran","4.5","75.33693867923441","214.26837789471432"
"cadefeministas","4.5","-15.662391179431442","235.00718905809487"
"VICENTINHOPT","4.5","136.40449969638482","178.97253936772591"
"jpcharleaux","4.5","146.87349513090118","204.48404419643964"
"ptbrasiI","4.5","53.20215351421902","201.60104040466382"
"RogerioCorreia_","4.5","32.830398728781304","171.54033183856262"
"mmarescast","4.5","0.1888825169546081","212.56403327410777"
"Maufalavigna","4.5","-35.338226578904575","185.33991893121808"
"UJSBRASIL","4.5","66.38657608644142","265.34364673920714"
"ubesoficial","4.25","53.257023249030055","190.50464057830567"
"JFMargarida","4.25","-7.7557611239822295","227.6636354664856"
"bemvindo_ator","4","10.81712573612624","216.22851888134383"
"MariliaArraes","4","95.15596402185335","233.11155236700534"
"pablo_ortellado","4","163.45767383833157","197.63475458761127"
"BohnGass","4","85.02786966787201","269.14162577077593"
"ToniBulhoes","4","-18.845906846145862","204.97501758711618"
"APellegrino1","4","5.17796895039478","202.18063299317112"
"foradoeixo","4","181.4658702272133","179.3826941507415"
"fpabramo","4","2.473407346250007","169.43462354422033"
"jnascim","3.75","179.46523344690783","153.39638602865446"
"CCambara2","3.75","30.513222283160236","253.6017426400722"
"enioverri","3.75","111.30147215905464","184.40170794453073"
"heldersalomao","3.75","60.08997791537026","195.9119150078943"
"CarlosZarattini","3.75","81.18683006699412","206.5681133880437"
"guimaraes13PT","3.75","112.40785795732316","247.9512178824466"
"EdmilsonPSOL","3.75","112.18778509718472","122.05691424610896"
"levantepopular","3.75","-20.73827006952233","214.5748216935375"
"Alice_Portugal","3.5","135.4419434614492","235.22275600551126"
"ReginaldoLopes","3.5","119.86181428111789","273.5862941915971"
"depjorgesolla","3.5","57.83533308764212","146.7466216433593"
"Patrus_Ananias","3.25","31.653864537510245","224.30422167315987"
"zeca_dirceu","3.25","121.05122892437907","165.78286194904703"
"pstu","3.25","133.1435991013925","209.79885565619495"
"PabloCapile","3","125.64656010668439","141.6654366188886"
"AfonsoFlorence","3","111.2789151479491","204.7271420781229"
"coalacroata","3","-38.117638187661115","203.0514943148996"
"partidao","3","11.064515433756247","167.244623410585"
"mpl_sp","3","63.32823335632177","163.31039689181753"
"chico_dangelo","3","113.97375133366653","162.82648769903605"
"natbonavides","2.75","26.029985442863527","230.40886820374035"
"zemaria_pstu","2.75","148.71123678971327","250.26206321524052"
"uczai","2.75","53.34370955288469","247.96915315048153"
"dep_padrejoao","2.5","60.999186528456114","247.24925771799042"
"Luizianne13PT","2.5","57.374556560075554","241.4965084846172"
"depmarcon","2.25","58.87505680414","235.5827243616682"
"depleomonteiro","2","128.03456205165742","235.59906282855795"
"paulaodopt","2","81.2380217983457","220.7636137908776"
"DepCaetano","2","103.73128794342189","219.55862186123414"
"DepValmir","2","45.787073796028245","190.2655518186664"
"NiltoTatto","2","78.15406665975105","185.32973623404297"
"MidiaNINJA","10.75","83.71661571474645","244.43569150885205"
"TheInterceptBr","9.75","123.40838663504952","258.7439769292058"
"J_LIVRES","8.75","74.07673448836108","195.45270609564452"
"revistaforum","7.5","91.96523141603974","197.96855942839218"
"cartamaior","7.5","122.63154087048508","178.25854091023876"
"Brasil_de_Fato","7","86.45798089533538","182.4845413046794"
"VIOMUNDO","6.75","121.65810183031648","207.0652170448226"
"tijolaco","6.75","88.91324974955954","214.16917917003585"
"DCM_online","6.75","57.173413701632306","224.7155746968489"
"VICEBRASIL","6.5","97.07328810037295","272.48506044417616"
"AntiCast","6.25","103.11824095524322","209.35337516692198"
"operamundi","5.75","100.63913837846614","251.9097452570979"
"eduguim","5.75","66.77526010753743","127.40701462414005"
