"Bairro","preco","Data","Dormitorios"
"ACLIMAÇÃO","9258 ",2019-04-01,"4"
"ALTO DA BOA VISTA","8067 ",2019-04-01,"4"
"BARRA FUNDA","9050 ",2019-04-01,"4"
"BELA VISTA","7724 ",2019-04-01,"4"
"BELÉM","6597 ",2019-04-01,"4"
"BRÁS","5255 ",2019-04-01,"4"
"BROOKLIN PAULISTA","9792 ",2019-04-01,"4"
"BUTANTÃ","6645 ",2019-04-01,"4"
"CAMPO BELO","9160 ",2019-04-01,"4"
"CAMPO GRANDE","6966 ",2019-04-01,"4"
"CAMPO LIMPO",NA,2019-04-01,"4"
"CANGAÍBA",NA,2019-04-01,"4"
"CASA VERDE","6096 ",2019-04-01,"4"
"CENTRO","5837 ",2019-04-01,"4"
"CHÁCARA KLABIN","10142 ",2019-04-01,"4"
