"Bairro","preco","Data","Dormitorios"
"VILA CARRÃO","6316 ",2018-04-01,"1"
"VILA CLEMENTINO","8962 ",2018-04-01,"1"
"VILA FORMOSA","7190 ",2018-04-01,"1"
"VILA LEOPOLDINA","9265 ",2018-04-01,"1"
"VILA MARIA","7147 ",2018-04-01,"1"
"VILA MARIANA","10622 ",2018-04-01,"1"
"VILA MASCOTE","8286 ",2018-04-01,"1"
"VILA NOVA CONCEIÇÃO","15445 ",2018-04-01,"1"
"VILA OLÍMPIA","14491 ",2018-04-01,"1"
"VILA PRUDENTE","6487 ",2018-04-01,"1"
"VILA ROMANA","7992 ",2018-04-01,"1"
"VILA SÔNIA","6979 ",2018-04-01,"1"
"ACLIMAÇÃO","8777 ",2019-04-01,"1"
"ALTO DA BOA VISTA","10497 ",2019-04-01,"1"
"BARRA FUNDA","9094 ",2019-04-01,"1"
"BELA VISTA","8739 ",2019-04-01,"1"
"BELÉM","5909 ",2019-04-01,"1"
"BRÁS","6698 ",2019-04-01,"1"
"BROOKLIN PAULISTA","12473 ",2019-04-01,"1"
"BUTANTÃ","6812 ",2019-04-01,"1"
"CAMPO BELO","11270 ",2019-04-01,"1"
"CAMPO GRANDE","6008 ",2019-04-01,"1"
"CAMPO LIMPO","4672 ",2019-04-01,"1"
"CANGAÍBA","5065 ",2019-04-01,"1"
"CASA VERDE","6379 ",2019-04-01,"1"
"CENTRO","7244 ",2019-04-01,"1"
"CHÁCARA KLABIN","11701 ",2019-04-01,"1"
"CONSOLAÇÃO","10324 ",2019-04-01,"1"
"FREGUESIA DO Ó","6432 ",2019-04-01,"1"
"HIGIENÓPOLIS","10475 ",2019-04-01,"1"
"INTERLAGOS","6313 ",2019-04-01,"1"
"IPIRANGA","7927 ",2019-04-01,"1"
"ITAIM BIBI","14615 ",2019-04-01,"1"
"ITAIM PAULISTA",NA,2019-04-01,"1"
"ITAQUERA","4646 ",2019-04-01,"1"
"JABAQUARA","7582 ",2019-04-01,"1"
"JAGUARÉ","6727 ",2019-04-01,"1"
"JARDIM AMÉRICA","12712 ",2019-04-01,"1"
"JARDIM MARAJOARA","6392 ",2019-04-01,"1"
"JARDIM PAULISTA","12897 ",2019-04-01,"1"
"JARDIM SAÚDE","7843 ",2019-04-01,"1"
"JARDINS","12908 ",2019-04-01,"1"
"LAPA",NA,2019-04-01,"1"
"LIMÃO","7339 ",2019-04-01,"1"
"MOEMA","11528 ",2019-04-01,"1"
"MOOCA","6391 ",2019-04-01,"1"
"MORUMBI","7100 ",2019-04-01,"1"
"PANAMBY","7635 ",2019-04-01,"1"
"PARAÍSO","10373 ",2019-04-01,"1"
"PENHA","5596 ",2019-04-01,"1"
"PERDIZES","10943 ",2019-04-01,"1"
"PINHEIROS","13440 ",2019-04-01,"1"
"PIRITUBA","5538 ",2019-04-01,"1"
"POMPÉIA","11206 ",2019-04-01,"1"
"REAL PARQUE","7813 ",2019-04-01,"1"
"SACOMÃ","5459 ",2019-04-01,"1"
"SANTA CECÍLIA","8048 ",2019-04-01,"1"
"SANTANA","8379 ",2019-04-01,"1"
